"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Cowlitz","United States President Democratic Party","Deval Patrick"," ","15","0.0925","Federal"
"Cowlitz","United States President Democratic Party","Bernie Sanders"," ","4924","30.3726","Federal"
"Cowlitz","United States President Democratic Party","Tom Steyer"," ","84","0.5181","Federal"
"Cowlitz","United States President Democratic Party","Elizabeth Warren"," ","1061","6.5445","Federal"
"Cowlitz","United States President Democratic Party","Andrew Yang"," ","93","0.5736","Federal"
"Cowlitz","United States President Democratic Party","Uncommitted Delegates"," ","120","0.7402","Federal"
"Cowlitz","United States President Democratic Party","Write-in"," ","25","0.1542","Federal"
"Cowlitz","United States President Republican Party","Donald J. Trump"," ","15410","99.0806","Federal"
"Cowlitz","United States President Republican Party","Write-in"," ","143","0.9194","Federal"
"Douglas","United States President Democratic Party","Michael Bennet"," ","11","0.2343","Federal"
"Douglas","United States President Democratic Party","Joseph R. Biden"," ","1905","40.5837","Federal"
"Douglas","United States President Democratic Party","Michael Bloomberg"," ","485","10.3323","Federal"
"Douglas","United States President Democratic Party","Cory Booker"," ","7","0.1491","Federal"
"Douglas","United States President Democratic Party","Pete Buttigieg"," ","233","4.9638","Federal"
"Douglas","United States President Democratic Party","John Delaney"," ","4","0.0852","Federal"
"Douglas","United States President Democratic Party","Tulsi Gabbard"," ","49","1.0439","Federal"
"Douglas","United States President Democratic Party","Amy Klobuchar"," ","104","2.2156","Federal"
"Douglas","United States President Democratic Party","Deval Patrick"," ","1","0.0213","Federal"
"Douglas","United States President Democratic Party","Bernie Sanders"," ","1546","32.9357","Federal"
"Douglas","United States President Democratic Party","Tom Steyer"," ","15","0.3196","Federal"
"Douglas","United States President Democratic Party","Elizabeth Warren"," ","288","6.1355","Federal"
"Douglas","United States President Democratic Party","Andrew Yang"," ","23","0.49","Federal"
"Douglas","United States President Democratic Party","Uncommitted Delegates"," ","19","0.4048","Federal"
"Douglas","United States President Democratic Party","Write-in"," ","4","0.0852","Federal"
"Douglas","United States President Republican Party","Donald J. Trump"," ","6394","99.3166","Federal"
"Douglas","United States President Republican Party","Write-in"," ","44","0.6834","Federal"
"Ferry","United States President Democratic Party","Michael Bennet"," ","0","0","Federal"
"Ferry","United States President Democratic Party","Joseph R. Biden"," ","306","31.7427","Federal"
"Ferry","United States President Democratic Party","Michael Bloomberg"," ","124","12.8631","Federal"
"Ferry","United States President Democratic Party","Cory Booker"," ","0","0","Federal"
"Ferry","United States President Democratic Party","Pete Buttigieg"," ","50","5.1867","Federal"
"Ferry","United States President Democratic Party","John Delaney"," ","1","0.1037","Federal"
"Ferry","United States President Democratic Party","Tulsi Gabbard"," ","14","1.4523","Federal"
"Ferry","United States President Democratic Party","Amy Klobuchar"," ","31","3.2158","Federal"
"Ferry","United States President Democratic Party","Deval Patrick"," ","2","0.2075","Federal"
"Ferry","United States President Democratic Party","Bernie Sanders"," ","347","35.9959","Federal"
"Ferry","United States President Democratic Party","Tom Steyer"," ","0","0","Federal"
"Ferry","United States President Democratic Party","Elizabeth Warren"," ","75","7.7801","Federal"
"Ferry","United States President Democratic Party","Andrew Yang"," ","3","0.3112","Federal"
"Ferry","United States President Democratic Party","Uncommitted Delegates"," ","11","1.1411","Federal"
"Ferry","United States President Democratic Party","Write-in"," ","0","0","Federal"
"Ferry","United States President Republican Party","Donald J. Trump"," ","1662","99.5806","Federal"
"Ferry","United States President Republican Party","Write-in"," ","7","0.4194","Federal"
"Franklin","United States President Democratic Party","Michael Bennet"," ","27","0.3807","Federal"
"Franklin","United States President Democratic Party","Joseph R. Biden"," ","2477","34.9267","Federal"
"Franklin","United States President Democratic Party","Michael Bloomberg"," ","728","10.2651","Federal"
"Franklin","United States President Democratic Party","Cory Booker"," ","9","0.1269","Federal"
"Franklin","United States President Democratic Party","Pete Buttigieg"," ","254","3.5815","Federal"
"Franklin","United States President Democratic Party","John Delaney"," ","11","0.1551","Federal"
"Franklin","United States President Democratic Party","Tulsi Gabbard"," ","79","1.1139","Federal"
"Franklin","United States President Democratic Party","Amy Klobuchar"," ","144","2.0305","Federal"
"Franklin","United States President Democratic Party","Deval Patrick"," ","3","0.0423","Federal"
"Franklin","United States President Democratic Party","Bernie Sanders"," ","2865","40.3976","Federal"
"Franklin","United States President Democratic Party","Tom Steyer"," ","21","0.2961","Federal"
"Franklin","United States President Democratic Party","Elizabeth Warren"," ","399","5.6261","Federal"
"Franklin","United States President Democratic Party","Andrew Yang"," ","39","0.5499","Federal"
"Franklin","United States President Democratic Party","Uncommitted Delegates"," ","31","0.4371","Federal"
"Franklin","United States President Democratic Party","Write-in"," ","5","0.0705","Federal"
"Franklin","United States President Republican Party","Donald J. Trump"," ","8242","99.0863","Federal"
"Franklin","United States President Republican Party","Write-in"," ","76","0.9137","Federal"
