Office,Parish,Ward,Precinct,"Belden ""Noonie Man"" Batiste (IND)","Glenn Adrain Harris (DEM)","Colby James (IND)","Cedric L. Richmond (DEM)","David M. Schilling (REP)","Sheldon C. Vincent, Sr. (REP)"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","100 B","3","51","0","78","0","0"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","101 A","4","27","2","87","1","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","101 B","3","30","1","77","1","1"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","104 A","13","56","6","173","21","12"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","01","104 B","12","62","5","165","16","6"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","001 A","12","72","5","225","20","9"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","001 B","14","73","5","240","14","9"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","009 A","5","15","0","67","10","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","009 B","0","25","3","75","4","3"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","011","17","79","5","220","27","8"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","013 A","7","30","1","117","36","17"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","013 B","9","27","5","101","33","16"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","016 A","9","63","2","194","1","0"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","016 B","6","50","2","174","6","5"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","020","3","39","2","83","39","22"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","022 A","7","51","5","174","2","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","022 B","8","46","4","136","2","2"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","023 A","13","50","5","180","5","2"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","023 B","12","42","6","166","0","1"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","024","8","53","2","217","3","1"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","030 A","14","84","7","257","2","4"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","02","030 B","13","63","3","237","3","9"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","Early Voting","","196","1854","113","10143","297","190"
"U. S. Representative -- 2nd Congressional District","East Baton Rouge","Provisional Votes","","0","8","0","4","0","1"
"U. S. Representative -- 2nd Congressional District","Iberville","00","01","4","3","2","16","20","4"
"U. S. Representative -- 2nd Congressional District","Iberville","00","02","26","56","3","165","9","4"
"U. S. Representative -- 2nd Congressional District","Iberville","00","03","37","75","8","178","22","9"
"U. S. Representative -- 2nd Congressional District","Iberville","00","06","5","12","0","31","6","5"
"U. S. Representative -- 2nd Congressional District","Iberville","00","07","17","57","2","176","26","9"
"U. S. Representative -- 2nd Congressional District","Iberville","00","09","32","117","13","273","192","94"
"U. S. Representative -- 2nd Congressional District","Iberville","00","10","18","26","7","109","218","82"
"U. S. Representative -- 2nd Congressional District","Iberville","00","11","27","107","6","215","10","14"
"U. S. Representative -- 2nd Congressional District","Iberville","00","12","4","5","2","14","10","7"
"U. S. Representative -- 2nd Congressional District","Iberville","00","13A","1","0","1","1","6","0"
"U. S. Representative -- 2nd Congressional District","Iberville","00","13C","11","17","4","61","7","2"
"U. S. Representative -- 2nd Congressional District","Iberville","00","14","11","13","5","52","59","22"
"U. S. Representative -- 2nd Congressional District","Iberville","00","14A","9","34","5","78","9","5"
"U. S. Representative -- 2nd Congressional District","Iberville","00","15","17","79","5","191","6","2"
"U. S. Representative -- 2nd Congressional District","Iberville","00","15A","0","6","0","5","15","4"
"U. S. Representative -- 2nd Congressional District","Iberville","00","16","30","81","4","158","2","3"
"U. S. Representative -- 2nd Congressional District","Iberville","00","17","18","26","4","43","108","37"
"U. S. Representative -- 2nd Congressional District","Iberville","00","18","5","20","5","42","93","22"
"U. S. Representative -- 2nd Congressional District","Iberville","00","19","21","58","7","112","11","4"
"U. S. Representative -- 2nd Congressional District","Iberville","00","19A","4","5","0","16","0","0"
"U. S. Representative -- 2nd Congressional District","Iberville","00","20","14","37","6","49","43","11"
"U. S. Representative -- 2nd Congressional District","Iberville","00","21","17","34","5","91","93","26"
"U. S. Representative -- 2nd Congressional District","Iberville","00","22","53","74","16","203","280","55"
"U. S. Representative -- 2nd Congressional District","Iberville","00","23","7","17","1","46","9","1"
"U. S. Representative -- 2nd Congressional District","Iberville","Early Voting","","100","470","32","2079","1247","413"
"U. S. Representative -- 2nd Congressional District","Iberville","Provisional Votes","","0","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","057","19","40","14","85","157","47"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","104","11","52","2","238","3","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","108","9","31","4","161","5","0"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","115","9","36","4","164","17","11"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","116","12","26","5","77","107","37"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","131","19","44","7","136","15","3"
