Office,Parish,Ward,Precinct,"Belden ""Noonie Man"" Batiste (IND)","Glenn Adrain Harris (DEM)","Colby James (IND)","Cedric L. Richmond (DEM)","David M. Schilling (REP)","Sheldon C. Vincent, Sr. (REP)"
"U. S. Representative -- 2nd Congressional District","St. James","00","15","5","21","1","60","5","1"
"U. S. Representative -- 2nd Congressional District","St. James","00","15A","1","6","0","28","9","0"
"U. S. Representative -- 2nd Congressional District","St. James","00","15B","0","4","0","10","4","1"
"U. S. Representative -- 2nd Congressional District","St. James","00","16","21","77","2","228","27","16"
"U. S. Representative -- 2nd Congressional District","St. James","00","16B","1","2","0","16","19","2"
"U. S. Representative -- 2nd Congressional District","St. James","00","17","13","23","8","93","76","17"
"U. S. Representative -- 2nd Congressional District","St. James","00","17A","3","2","0","12","27","7"
"U. S. Representative -- 2nd Congressional District","St. James","00","18","7","22","6","118","108","22"
"U. S. Representative -- 2nd Congressional District","St. James","Early Voting","","119","458","59","3098","2060","471"
"U. S. Representative -- 2nd Congressional District","St. James","Provisional Votes","","0","0","0","1","0","0"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","01","3","0","1","15","51","7"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","02","9","44","4","159","6","4"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","03","27","82","3","251","10","2"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","04","14","46","6","147","20","6"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","05","19","47","3","148","21","13"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","06","3","2","0","22","1","1"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","07","1","1","1","1","13","0"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","08","1","11","2","15","45","13"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","09","1","0","1","8","6","0"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","01","11","30","5","119","163","55"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","02","20","59","10","186","79","16"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","03","20","48","6","129","203","65"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","04","10","10","9","62","229","92"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","05","0","0","0","1","6","6"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","03","01","8","36","2","85","55","14"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","03","02","23","129","6","388","24","11"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","03","04","31","84","11","279","62","22"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","01","0","5","0","13","7","2"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","02","21","43","8","129","70","22"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","03","19","52","5","134","19","4"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","11","2","2","0","3","0","0"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","14","10","52","9","162","87","23"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","05","01","8","20","2","75","77","11"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","05","08","2","2","2","11","42","9"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","06","01","18","71","12","192","105","25"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","06","03","20","89","2","225","18","12"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","06","04","10","51","9","203","12","8"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","07","07","6","23","3","74","81","26"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","Early Voting","","143","734","69","4977","1001","339"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","Provisional Votes","","0","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","01A","25","38","19","122","301","74"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","01B","22","81","12","171","235","65"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","01C","21","60","8","149","152","50"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","06","3","14","1","21","3","0"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","08","16","75","9","233","77","17"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","10A","6","8","1","20","64","35"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","10B","9","25","1","45","8","6"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","11A","5","12","2","24","42","16"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","11B","1","2","3","5","11","4"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","13A","17","58","3","123","19","7"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","13B","3","7","1","44","0","0"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","14","8","46","3","93","15","5"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","00","15","27","71","5","167","3","5"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","Early Voting","","62","322","29","1594","729","208"
"U. S. Representative -- 2nd Congressional District","West Baton Rouge","Provisional Votes","","0","0","0","0","0","0"
