Office,Parish,Ward,Precinct,"Sandra ""Candy"" Christophe (DEM)","Allen Guillory, Sr. (REP)","Lance Harris (REP)","""Matt"" Hasty (REP)","Jesse P. Lagarde (DEM)","Martin Lemelle, Jr. (DEM)","Luke J. Letlow (REP)","""Scotty"" Robinson (REP)","Phillip Snowden (DEM)"
"U. S. Representative -- 5th Congressional District","Tensas","00","11A","8","3","0","2","0","8","11","2","3"
"U. S. Representative -- 5th Congressional District","Tensas","00","12","51","5","3","2","4","40","4","5","18"
"U. S. Representative -- 5th Congressional District","Tensas","00","15","56","5","1","2","11","34","4","1","15"
"U. S. Representative -- 5th Congressional District","Tensas","00","17","10","7","6","2","1","4","54","2","4"
"U. S. Representative -- 5th Congressional District","Tensas","Early Voting","","470","35","61","21","35","132","575","31","76"
"U. S. Representative -- 5th Congressional District","Tensas","Provisional Votes","","1","0","0","0","1","0","1","1","0"
"U. S. Representative -- 5th Congressional District","Washington","01","01","19","158","68","45","10","8","193","39","4"
"U. S. Representative -- 5th Congressional District","Washington","01","02","21","73","30","14","4","9","85","21","1"
"U. S. Representative -- 5th Congressional District","Washington","02","01","49","100","52","42","18","20","150","40","13"
"U. S. Representative -- 5th Congressional District","Washington","03","01","15","51","14","12","5","1","74","8","3"
"U. S. Representative -- 5th Congressional District","Washington","03","02","150","21","12","6","15","35","22","13","10"
"U. S. Representative -- 5th Congressional District","Washington","03","03","19","48","10","17","5","6","57","13","4"
"U. S. Representative -- 5th Congressional District","Washington","03","03A","53","4","4","4","3","18","5","4","4"
"U. S. Representative -- 5th Congressional District","Washington","03","03B","0","8","0","2","0","0","14","0","0"
"U. S. Representative -- 5th Congressional District","Washington","03","03C","10","40","34","21","2","1","70","9","0"
"U. S. Representative -- 5th Congressional District","Washington","04","01","69","1","2","1","10","50","1","5","6"
"U. S. Representative -- 5th Congressional District","Washington","04","01A","82","13","8","7","19","83","22","8","13"
"U. S. Representative -- 5th Congressional District","Washington","04","02A","58","6","5","5","12","62","7","7","5"
"U. S. Representative -- 5th Congressional District","Washington","04","03","46","27","15","6","2","29","13","4","8"
"U. S. Representative -- 5th Congressional District","Washington","04","03B","36","27","7","0","7","42","19","8","7"
"U. S. Representative -- 5th Congressional District","Washington","04","04","57","52","24","15","5","39","43","10","5"
"U. S. Representative -- 5th Congressional District","Washington","04","05","12","19","18","4","3","10","36","3","3"
"U. S. Representative -- 5th Congressional District","Washington","04","05B","10","5","4","0","1","3","3","3","1"
"U. S. Representative -- 5th Congressional District","Washington","04","06","21","26","13","11","5","12","33","11","4"
"U. S. Representative -- 5th Congressional District","Washington","04","07","29","40","20","6","7","12","36","20","6"
"U. S. Representative -- 5th Congressional District","Washington","04","07B","12","26","15","8","0","7","16","6","1"
"U. S. Representative -- 5th Congressional District","Washington","04","08","11","38","18","8","1","8","42","13","2"
"U. S. Representative -- 5th Congressional District","Washington","04","09","7","26","12","4","1","1","45","5","3"
"U. S. Representative -- 5th Congressional District","Washington","04","09A","18","20","8","6","4","7","33","4","2"
"U. S. Representative -- 5th Congressional District","Washington","04","10","7","49","16","4","3","0","43","14","4"
"U. S. Representative -- 5th Congressional District","Washington","04","10A","4","47","22","6","1","3","31","7","3"
"U. S. Representative -- 5th Congressional District","Washington","04","11","10","63","25","20","3","1","77","25","3"
"U. S. Representative -- 5th Congressional District","Washington","05","01","114","51","24","7","7","17","53","18","1"
"U. S. Representative -- 5th Congressional District","Washington","05","02","2","51","33","19","0","4","79","18","7"
"U. S. Representative -- 5th Congressional District","Washington","05","03","12","18","12","5","1","1","38","3","1"
"U. S. Representative -- 5th Congressional District","Washington","06","01","7","68","29","14","5","4","104","26","3"
"U. S. Representative -- 5th Congressional District","Washington","06","02","16","73","40","24","0","2","106","19","1"
"U. S. Representative -- 5th Congressional District","Washington","06","03","11","69","44","20","2","2","78","27","1"
"U. S. Representative -- 5th Congressional District","Washington","06","04","10","65","29","20","4","1","104","16","2"
"U. S. Representative -- 5th Congressional District","Washington","07","01","31","51","34","25","1","8","70","10","4"
"U. S. Representative -- 5th Congressional District","Washington","07","01A","103","13","10","5","15","32","12","4","5"
"U. S. Representative -- 5th Congressional District","Washington","07","02","19","145","60","77","3","3","159","33","7"
"U. S. Representative -- 5th Congressional District","Washington","07","03","13","10","8","2","2","3","25","1","1"
"U. S. Representative -- 5th Congressional District","Washington","08","01","111","63","31","29","29","58","72","17","8"
"U. S. Representative -- 5th Congressional District","Washington","08","02","62","20","22","13","15","30","34","10","6"
"U. S. Representative -- 5th Congressional District","Washington","08","03","21","89","58","58","1","9","159","21","5"
"U. S. Representative -- 5th Congressional District","Washington","09","01","73","95","50","29","12","21","125","33","10"
"U. S. Representative -- 5th Congressional District","Washington","Early Voting","","1976","1409","713","346","231","718","2742","459","146"
"U. S. Representative -- 5th Congressional District","Washington","Provisional Votes","","1","0","0","0","0","0","0","0","0"
"U. S. Representative -- 5th Congressional District","West Carroll","00","01","29","5","14","3","2","18","55","6","1"
"U. S. Representative -- 5th Congressional District","West Carroll","00","02","21","13","21","9","5","15","150","13","2"
"U. S. Representative -- 5th Congressional District","West Carroll","00","03","5","6","23","6","1","13","49","5","0"
"U. S. Representative -- 5th Congressional District","West Carroll","00","03A","3","5","13","2","0","5","36","2","1"
"U. S. Representative -- 5th Congressional District","West Carroll","00","04","14","3","15","0","2","8","11","2","0"
"U. S. Representative -- 5th Congressional District","West Carroll","00","05","6","21","30","9","1","9","125","8","3"
"U. S. Representative -- 5th Congressional District","West Carroll","00","06","3","14","47","5","0","0","158","12","1"
"U. S. Representative -- 5th Congressional District","West Carroll","00","07","5","5","19","5","0","1","40","5","3"
"U. S. Representative -- 5th Congressional District","West Carroll","00","08","3","15","15","6","3","1","76","11","0"
"U. S. Representative -- 5th Congressional District","West Carroll","00","09","3","13","15","5","0","0","83","6","0"
"U. S. Representative -- 5th Congressional District","West Carroll","00","10","12","15","23","6","7","20","54","14","1"
"U. S. Representative -- 5th Congressional District","West Carroll","00","11","7","3","8","0","2","11","9","4","2"
"U. S. Representative -- 5th Congressional District","West Carroll","00","12","5","8","14","4","2","1","42","8","2"
"U. S. Representative -- 5th Congressional District","West Carroll","00","14","3","3","2","0","0","0","29","4","1"
"U. S. Representative -- 5th Congressional District","West Carroll","00","15","1","3","2","1","0","0","30","3","0"
"U. S. Representative -- 5th Congressional District","West Carroll","00","16","15","25","41","10","0","11","116","19","2"
"U. S. Representative -- 5th Congressional District","West Carroll","00","18","3","14","10","3","0","2","61","10","1"
"U. S. Representative -- 5th Congressional District","West Carroll","Early Voting","","130","177","292","70","19","98","1546","190","22"
"U. S. Representative -- 5th Congressional District","West Carroll","Provisional Votes","","0","0","0","0","0","0","0","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","01","01","23","44","18","20","3","2","49","10","6"
"U. S. Representative -- 5th Congressional District","West Feliciana","01","01A","2","2","3","1","0","1","5","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","01","01B","4","1","0","0","0","0","0","1","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","02","01A","15","23","9","1","0","3","88","8","1"
"U. S. Representative -- 5th Congressional District","West Feliciana","02","01B","7","10","8","1","2","0","43","2","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","02","01C","3","2","3","1","0","1","1","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","02","01D","1","3","6","2","1","0","12","2","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","02","02","26","80","46","30","5","3","133","30","4"
"U. S. Representative -- 5th Congressional District","West Feliciana","03","02","13","14","6","3","1","3","28","3","9"
"U. S. Representative -- 5th Congressional District","West Feliciana","03","02A","12","2","1","1","2","12","1","1","4"
"U. S. Representative -- 5th Congressional District","West Feliciana","03","02B","22","1","0","0","1","5","1","2","2"
"U. S. Representative -- 5th Congressional District","West Feliciana","03","03A","73","7","4","0","6","21","18","3","17"
"U. S. Representative -- 5th Congressional District","West Feliciana","03","03B","37","1","3","0","4","4","0","3","8"
"U. S. Representative -- 5th Congressional District","West Feliciana","04","01","8","49","31","29","3","7","56","16","5"
"U. S. Representative -- 5th Congressional District","West Feliciana","04","02","9","22","7","13","1","0","69","3","1"
"U. S. Representative -- 5th Congressional District","West Feliciana","04","03","11","32","19","6","0","4","47","10","3"
"U. S. Representative -- 5th Congressional District","West Feliciana","04","03A","19","0","1","0","1","9","1","0","3"
"U. S. Representative -- 5th Congressional District","West Feliciana","05","01","11","3","3","1","0","6","12","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","05","01A","1","4","5","2","0","2","19","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","05","02","72","12","9","2","10","8","13","4","13"
"U. S. Representative -- 5th Congressional District","West Feliciana","05","02A","11","15","1","11","0","3","48","4","2"
"U. S. Representative -- 5th Congressional District","West Feliciana","05","03","28","9","2","1","3","20","10","0","3"
"U. S. Representative -- 5th Congressional District","West Feliciana","06","01","6","7","5","6","0","2","12","4","1"
"U. S. Representative -- 5th Congressional District","West Feliciana","06","02","17","28","12","18","3","4","36","7","2"
"U. S. Representative -- 5th Congressional District","West Feliciana","06","02A","37","22","13","15","3","11","31","7","3"
"U. S. Representative -- 5th Congressional District","West Feliciana","06","03","9","13","3","4","2","1","18","0","3"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","01","6","6","14","4","1","0","11","0","1"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","01A","0","0","2","0","0","0","0","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","01B","0","0","0","2","0","0","2","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","02A","2","4","2","0","0","0","4","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","02B","4","2","0","0","0","2","3","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","02C","32","5","2","0","1","10","1","0","5"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","02D","30","13","13","3","2","3","10","1","3"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","02E","0","0","0","0","2","0","1","0","0"
"U. S. Representative -- 5th Congressional District","West Feliciana","07","04","12","0","1","0","1","0","0","0","3"
"U. S. Representative -- 5th Congressional District","West Feliciana","Early Voting","","822","337","298","142","76","155","985","159","101"
"U. S. Representative -- 5th Congressional District","West Feliciana","Provisional Votes","","0","0","0","0","0","0","0","0","0"
"U. S. Representative -- 5th Congressional District","Winn","01","1","54","5","8","0","8","31","2","3","6"
"U. S. Representative -- 5th Congressional District","Winn","01","3","17","15","18","3","2","1","53","3","1"
"U. S. Representative -- 5th Congressional District","Winn","01","4","0","0","9","2","0","0","8","0","0"
"U. S. Representative -- 5th Congressional District","Winn","01","5","33","7","16","3","8","11","12","1","26"
"U. S. Representative -- 5th Congressional District","Winn","02","1","13","2","7","2","1","12","10","2","1"
"U. S. Representative -- 5th Congressional District","Winn","02","2","2","0","2","1","1","0","3","1","1"
"U. S. Representative -- 5th Congressional District","Winn","02","3","66","10","10","4","6","44","23","3","10"
"U. S. Representative -- 5th Congressional District","Winn","03","1A","14","8","7","3","3","3","25","4","1"
"U. S. Representative -- 5th Congressional District","Winn","03","1B","9","2","3","1","0","12","18","2","1"
"U. S. Representative -- 5th Congressional District","Winn","03","1C","1","0","0","0","0","0","3","1","0"
"U. S. Representative -- 5th Congressional District","Winn","03","2","4","11","21","6","0","4","80","5","1"
"U. S. Representative -- 5th Congressional District","Winn","03","2A","0","0","2","1","0","0","6","0","0"
"U. S. Representative -- 5th Congressional District","Winn","03","3","8","15","20","9","2","1","65","7","2"
"U. S. Representative -- 5th Congressional District","Winn","04","1","4","6","5","1","0","3","21","4","0"
"U. S. Representative -- 5th Congressional District","Winn","04","2","0","7","12","2","0","0","15","3","0"
"U. S. Representative -- 5th Congressional District","Winn","04","2A","0","0","5","1","0","0","8","1","0"
"U. S. Representative -- 5th Congressional District","Winn","04","3","18","29","52","20","2","8","91","9","9"
"U. S. Representative -- 5th Congressional District","Winn","04","5","3","19","35","18","0","3","114","20","2"
"U. S. Representative -- 5th Congressional District","Winn","05","1","0","4","8","4","0","0","35","2","0"
"U. S. Representative -- 5th Congressional District","Winn","05","2","11","25","36","4","5","11","75","7","2"
"U. S. Representative -- 5th Congressional District","Winn","05","3","10","17","25","13","1","8","68","5","1"
"U. S. Representative -- 5th Congressional District","Winn","05","5","6","24","39","12","0","2","133","12","2"
"U. S. Representative -- 5th Congressional District","Winn","06","1","16","12","16","4","0","5","48","9","2"
"U. S. Representative -- 5th Congressional District","Winn","06","1A","14","6","8","5","4","8","19","7","3"
"U. S. Representative -- 5th Congressional District","Winn","06","3","10","17","32","15","0","4","108","10","1"
"U. S. Representative -- 5th Congressional District","Winn","06","6","2","1","11","5","0","1","28","6","1"
"U. S. Representative -- 5th Congressional District","Winn","07","1","15","1","0","3","2","4","9","2","0"
"U. S. Representative -- 5th Congressional District","Winn","07","1A","4","15","16","7","1","1","40","2","2"
"U. S. Representative -- 5th Congressional District","Winn","07","2","0","19","35","11","1","0","51","6","0"
"U. S. Representative -- 5th Congressional District","Winn","07","2A","11","20","33","8","2","4","66","7","2"
"U. S. Representative -- 5th Congressional District","Winn","07","7","4","11","31","6","1","3","81","1","0"
"U. S. Representative -- 5th Congressional District","Winn","Early Voting","","325","173","337","110","52","236","1204","97","52"
"U. S. Representative -- 5th Congressional District","Winn","Provisional Votes","","1","0","0","0","0","0","1","0","0"
