ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/3/2020	DEM	Democrat	PRE	President of the United States	CAL	Calhoun			11	11	Harris	Biden	/	1209
11/3/2020	DEM	Democrat	PRE	President of the United States	CHA	Charlotte			68	68	Harris	Biden	/	42273
11/3/2020	DEM	Democrat	PRE	President of the United States	CIT	Citrus			31	31	Harris	Biden	/	27092
11/3/2020	DEM	Democrat	PRE	President of the United States	CLA	Clay			47	47	Harris	Biden	/	38317
11/3/2020	DEM	Democrat	PRE	President of the United States	CLL	Collier			60	60	Harris	Biden	/	77621
11/3/2020	DEM	Democrat	PRE	President of the United States	CLM	Columbia			22	22	Harris	Biden	/	8914
11/3/2020	DEM	Democrat	PRE	President of the United States	DES	Desoto			15	15	Harris	Biden	/	4259
11/3/2020	DEM	Democrat	PRE	President of the United States	DIX	Dixie			10	10	Harris	Biden	/	1365
11/3/2020	DEM	Democrat	PRE	President of the United States	DUV	Duval			199	199	Harris	Biden	/	252556
11/3/2020	DEM	Democrat	PRE	President of the United States	ESC	Escambia			80	80	Harris	Biden	/	70929
11/3/2020	DEM	Democrat	PRE	President of the United States	FLA	Flagler			26	26	Harris	Biden	/	28161
11/3/2020	DEM	Democrat	PRE	President of the United States	FRA	Franklin			8	8	Harris	Biden	/	2120
11/3/2020	DEM	Democrat	PRE	President of the United States	GAD	Gadsden			25	25	Harris	Biden	/	16153
11/3/2020	DEM	Democrat	PRE	President of the United States	GIL	Gilchrist			10	10	Harris	Biden	/	1700
11/3/2020	DEM	Democrat	PRE	President of the United States	GLA	Glades			13	13	Harris	Biden	/	1385
11/3/2020	DEM	Democrat	PRE	President of the United States	GUL	Gulf			10	10	Harris	Biden	/	1985
11/3/2020	DEM	Democrat	PRE	President of the United States	HAM	Hamilton			8	8	Harris	Biden	/	1963
11/3/2020	DEM	Democrat	PRE	President of the United States	HAR	Hardee			12	12	Harris	Biden	/	2298
11/3/2020	DEM	Democrat	PRE	President of the United States	HEN	Hendry			10	10	Harris	Biden	/	4929
11/3/2020	DEM	Democrat	PRE	President of the United States	HER	Hernando			0	0	Harris	Biden	/	37519
11/3/2020	DEM	Democrat	PRE	President of the United States	HIG	Highlands			25	25	Harris	Biden	/	16938
11/3/2020	DEM	Democrat	PRE	President of the United States	HIL	Hillsborough			390	390	Harris	Biden	/	376367
11/3/2020	DEM	Democrat	PRE	President of the United States	HOL	Holmes			8	8	Harris	Biden	/	924
11/3/2020	DEM	Democrat	PRE	President of the United States	IND	Indian River			35	35	Harris	Biden	/	37844
11/3/2020	DEM	Democrat	PRE	President of the United States	JAC	Jackson			14	14	Harris	Biden	/	6766
11/3/2020	DEM	Democrat	PRE	President of the United States	JEF	Jefferson			16	16	Harris	Biden	/	3897
11/3/2020	DEM	Democrat	PRE	President of the United States	LAF	Lafayette			5	5	Harris	Biden	/	510
11/3/2020	DEM	Democrat	PRE	President of the United States	LAK	Lake			104	104	Harris	Biden	/	83505
11/3/2020	DEM	Democrat	PRE	President of the United States	LEE	Lee			127	127	Harris	Biden	/	157695
11/3/2020	DEM	Democrat	PRE	President of the United States	LEO	Leon			152	152	Harris	Biden	/	103517
11/3/2020	DEM	Democrat	PRE	President of the United States	LEV	Levy			13	13	Harris	Biden	/	6205
11/3/2020	DEM	Democrat	PRE	President of the United States	LIB	Liberty			8	8	Harris	Biden	/	694
11/3/2020	DEM	Democrat	PRE	President of the United States	MAD	Madison			11	11	Harris	Biden	/	3747
11/3/2020	DEM	Democrat	PRE	President of the United States	MAN	Manatee			70	70	Harris	Biden	/	90166
11/3/2020	DEM	Democrat	PRE	President of the United States	MRN	Marion			122	122	Harris	Biden	/	74858
11/3/2020	DEM	Democrat	PRE	President of the United States	MRT	Martin			28	28	Harris	Biden	/	36893
11/3/2020	DEM	Democrat	PRE	President of the United States	DAD	Miami-Dade			866	866	Harris	Biden	/	617864
11/3/2020	DEM	Democrat	PRE	President of the United States	MON	Monroe			33	33	Harris	Biden	/	21881
11/3/2020	DEM	Democrat	PRE	President of the United States	NAS	Nassau			15	15	Harris	Biden	/	15564
11/3/2020	DEM	Democrat	PRE	President of the United States	OKA	Okaloosa			52	52	Harris	Biden	/	34248
11/3/2020	DEM	Democrat	PRE	President of the United States	OKE	Okeechobee			11	11	Harris	Biden	/	4390
11/3/2020	DEM	Democrat	PRE	President of the United States	ORA	Orange			247	247	Harris	Biden	/	395014
11/3/2020	DEM	Democrat	PRE	President of the United States	OSC	Osceola			101	101	Harris	Biden	/	97297
11/3/2020	DEM	Democrat	PRE	President of the United States	PAL	Palm Beach			872	872	Harris	Biden	/	433572
11/3/2020	DEM	Democrat	PRE	President of the United States	PAS	Pasco			111	111	Harris	Biden	/	119073
11/3/2020	DEM	Democrat	PRE	President of the United States	PIN	Pinellas			301	301	Harris	Biden	/	277450
11/3/2020	DEM	Democrat	PRE	President of the United States	POL	Polk			167	167	Harris	Biden	/	145049
11/3/2020	DEM	Democrat	PRE	President of the United States	PUT	Putnam			35	35	Harris	Biden	/	10527
11/3/2020	DEM	Democrat	PRE	President of the United States	SAN	Santa Rosa			41	41	Harris	Biden	/	27612
11/3/2020	DEM	Democrat	PRE	President of the United States	SAR	Sarasota			101	101	Harris	Biden	/	120110
11/3/2020	DEM	Democrat	PRE	President of the United States	SEM	Seminole			80	80	Harris	Biden	/	132528
11/3/2020	DEM	Democrat	PRE	President of the United States	STJ	St. Johns			48	48	Harris	Biden	/	63850
11/3/2020	DEM	Democrat	PRE	President of the United States	STL	St. Lucie			64	64	Harris	Biden	/	84137
11/3/2020	DEM	Democrat	PRE	President of the United States	SUM	Sumter			26	26	Harris	Biden	/	29341
11/3/2020	DEM	Democrat	PRE	President of the United States	SUW	Suwannee			16	16	Harris	Biden	/	4485
11/3/2020	DEM	Democrat	PRE	President of the United States	TAY	Taylor			14	14	Harris	Biden	/	2299
