ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100043000,"US REPRESENTATIVE, 2ND DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066698,"CLIFF BENTZ",11/10/2020 9:27:54 PM,1,7649,0.79100310237849,157/381,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:27:54 PM,1,4,0.000415973377703827,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:27:54 PM,1,2042,0.212354409317804,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:27:54 PM,1,234,0.0243344425956739,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:27:54 PM,1,160,0.0166389351081531,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:27:54 PM,1,7176,0.746256239600666,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:27:54 PM,1,9,0.00094846664558963,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:27:54 PM,1,392,0.0413109916745706,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:27:54 PM,1,2114,0.22278427653072,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:27:54 PM,1,285,0.0300347771103383,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:27:54 PM,1,6689,0.704921488038782,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:27:54 PM,1,42,0.00450934077732446,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:27:54 PM,1,2304,0.247369551213227,662/1333,
100043004,"ATTORNEY GENERAL","LIBERTARIAN","","","STATEWIDE PARTISAN",8,,100072718,"LARS D H HEDBOR",11/10/2020 9:27:54 PM,1,304,0.0326390380073008,662/1333,
100043004,"ATTORNEY GENERAL","REPUBLICAN","","","STATEWIDE PARTISAN",8,,100069989,"MICHAEL CROSS",11/10/2020 9:27:54 PM,1,6664,0.715482070002147,662/1333,
100043021,"STATE SENATOR, 30TH DISTRICT","","","","SD 30",11,,9901,"Write-in",11/10/2020 9:27:54 PM,1,15,0.00158478605388273,56/95,
100043021,"STATE SENATOR, 30TH DISTRICT","DEMOCRAT","","","SD 30",11,,100068174,"CARINA M MILLER",11/10/2020 9:27:54 PM,1,2122,0.22419440042261,56/95,
100043021,"STATE SENATOR, 30TH DISTRICT","REPUBLICAN","","","SD 30",11,,100066620,"LYNN P FINDLEY",11/10/2020 9:27:54 PM,1,7328,0.774220813523508,56/95,
100043092,"STATE REPRESENTATIVE, 60TH DISTRICT","","","","HD 60",11,,9901,"Write-in",11/10/2020 9:27:54 PM,1,16,0.0017215407789972,44/55,
100043092,"STATE REPRESENTATIVE, 60TH DISTRICT","DEMOCRAT, WORKING FAMILIES","","","HD 60",11,,100069016,"BETH E SPELL",11/10/2020 9:27:54 PM,1,2031,0.218528082633957,44/55,
100043092,"STATE REPRESENTATIVE, 60TH DISTRICT","REPUBLICAN, LIBERTARIAN","","","HD 60",11,,100066856,"MARK OWENS",11/10/2020 9:27:54 PM,1,7247,0.779750376587045,44/55,
100043167,"JUDGE OF THE CIRCUIT COURT, 8TH DISTRICT, POSITION 1","","","","CIRCUIT COURT DISTRICT 08",11,,9901,"Write-in",11/10/2020 9:27:54 PM,1,175,0.023680649526387,17/17,
100043167,"JUDGE OF THE CIRCUIT COURT, 8TH DISTRICT, POSITION 1","NONPARTISAN INCUMBENT","","","CIRCUIT COURT DISTRICT 08",11,,100072500,"MATT SHIRTCLIFF",11/10/2020 9:27:54 PM,1,7215,0.976319350473613,17/17,
100043508,"COUNTY SHERIFF","","","","COUNTYWIDE",12,,9901,"Write-in",11/10/2020 9:27:54 PM,1,162,0.0203211239337682,17/17,
100043508,"COUNTY SHERIFF","NONPARTISAN","","","COUNTYWIDE",12,,100055645,"TRAVIS ASH",11/10/2020 9:27:54 PM,1,7810,0.979678876066232,17/17,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","","","","CITY OF BAKER CITY",13,,9901,"Write-in",11/10/2020 9:27:54 PM,4,341,0.0147619047619048,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073079,"BETTY J MILLIMAN",11/10/2020 9:27:54 PM,4,1546,0.0669264069264069,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073080,"KERRY MCQUISTEN",11/10/2020 9:27:54 PM,4,2653,0.114848484848485,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073081,"JOHNNY WAGGONER SR",11/10/2020 9:27:54 PM,4,2153,0.0932034632034632,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073082,"JAMES C THOMAS",11/10/2020 9:27:54 PM,4,1076,0.0465800865800866,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073083,"ARVID E ANDERSEN",11/10/2020 9:27:54 PM,4,1721,0.0745021645021645,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073084,"SHANE ALDERSON",11/10/2020 9:27:54 PM,4,2406,0.104155844155844,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073085,"DONI BRULAND",11/10/2020 9:27:54 PM,4,1546,0.0669264069264069,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073086,"DAMON ROSE",11/10/2020 9:27:54 PM,4,1123,0.0486147186147186,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073087,"ANNIE CROUCHER",11/10/2020 9:27:54 PM,4,1218,0.0527272727272727,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073088,"JOANNA DIXON",11/10/2020 9:27:54 PM,4,1847,0.07995670995671,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073089,"JASON SPRIET",11/10/2020 9:27:54 PM,4,2324,0.100606060606061,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073090,"GRETCHEN STADLER",11/10/2020 9:27:54 PM,4,1396,0.0604329004329004,5/5,
100043629,"CITY OF BAKER CITY, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF BAKER CITY",13,,100073091,"HEATHER SELLS",11/10/2020 9:27:54 PM,4,1750,0.0757575757575758,5/5,
100043513,"CITY OF HAINES, MAYOR","","","","CITY OF HAINES",14,,9901,"Write-in",11/10/2020 9:27:54 PM,1,7,0.0307017543859649,1/1,
100043513,"CITY OF HAINES, MAYOR","NONPARTISAN","","","CITY OF HAINES",14,,100072882,"BRIAN POUND",11/10/2020 9:27:54 PM,1,91,0.399122807017544,1/1,
100043513,"CITY OF HAINES, MAYOR","NONPARTISAN","","","CITY OF HAINES",14,,100072883,"JAMES H BROWN",11/10/2020 9:27:54 PM,1,130,0.570175438596491,1/1,
100043514,"CITY OF HAINES, COUNCIL (Vote For 3)","","","","CITY OF HAINES",15,,9901,"Write-in",11/10/2020 9:27:54 PM,3,22,0.0406654343807763,1/1,
100043514,"CITY OF HAINES, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF HAINES",15,,100072885,"DENNIS ANTHONY",11/10/2020 9:27:54 PM,3,172,0.317929759704251,1/1,
100043514,"CITY OF HAINES, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF HAINES",15,,100072886,"KEN BAIN",11/10/2020 9:27:54 PM,3,185,0.341959334565619,1/1,
100043514,"CITY OF HAINES, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF HAINES",15,,100072887,"PETER HALL",11/10/2020 9:27:54 PM,3,162,0.299445471349353,1/1,
100043617,"CITY OF HALFWAY, MAYOR","","","","CITY OF HALFWAY",16,,9901,"Write-in",11/10/2020 9:27:54 PM,1,156,1,1/1,
100043617,"CITY OF HALFWAY, MAYOR","NONPARTISAN","","","CITY OF HALFWAY",16,,100073050,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,1/1,
100043616,"CITY OF HALFWAY, COUNCIL (Vote For 3)","","","","CITY OF HALFWAY",17,,9901,"Write-in",11/10/2020 9:27:54 PM,3,207,0.581460674157303,1/1,
100043616,"CITY OF HALFWAY, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF HALFWAY",17,,100073049,"ALAN J HANLEY",11/10/2020 9:27:54 PM,3,149,0.418539325842697,1/1,
100043509,"CITY OF HUNTINGTON, COUNCIL (Vote For 4)","","","","CITY OF HUNTINGTON",18,,9901,"Write-in",11/10/2020 9:27:54 PM,4,109,0.16390977443609,1/1,
100043509,"CITY OF HUNTINGTON, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF HUNTINGTON",18,,100072865,"THOMAS A TRUJILLO",11/10/2020 9:27:54 PM,4,112,0.168421052631579,1/1,
100043509,"CITY OF HUNTINGTON, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF HUNTINGTON",18,,100072866,"TONY ALEXANDER",11/10/2020 9:27:54 PM,4,127,0.190977443609023,1/1,
100043509,"CITY OF HUNTINGTON, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF HUNTINGTON",18,,100072867,"WADE BOXBERGER",11/10/2020 9:27:54 PM,4,145,0.218045112781955,1/1,
100043509,"CITY OF HUNTINGTON, COUNCIL (Vote For 4)","NONPARTISAN","","","CITY OF HUNTINGTON",18,,100072868,"KEVIN JONES",11/10/2020 9:27:54 PM,4,172,0.258646616541353,1/1,
100043510,"CITY OF HUNTINGTON, MAYOR","","","","CITY OF HUNTINGTON",19,,9901,"Write-in",11/10/2020 9:27:54 PM,1,156,1,1/1,
100043510,"CITY OF HUNTINGTON, MAYOR","NONPARTISAN","","","CITY OF HUNTINGTON",19,,100072869,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,1/1,
100043511,"CITY OF RICHLAND, MAYOR","","","","CITY OF RICHLAND",20,,9901,"Write-in",11/10/2020 9:27:54 PM,1,5,0.0625,1/1,
100043511,"CITY OF RICHLAND, MAYOR","NONPARTISAN","","","CITY OF RICHLAND",20,,100072870,"PATRICK L LATTIN",11/10/2020 9:27:54 PM,1,75,0.9375,1/1,
100043512,"CITY OF RICHLAND, COUNCIL (Vote For 3)","","","","CITY OF RICHLAND",21,,9901,"Write-in",11/10/2020 9:27:54 PM,3,17,0.0772727272727273,1/1,
100043512,"CITY OF RICHLAND, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF RICHLAND",21,,100072873,"FAITH POWELL",11/10/2020 9:27:54 PM,3,55,0.25,1/1,
100043512,"CITY OF RICHLAND, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF RICHLAND",21,,100072874,"NANCY L NELSON",11/10/2020 9:27:54 PM,3,70,0.318181818181818,1/1,
100043512,"CITY OF RICHLAND, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF RICHLAND",21,,100072876,"DELORIS DENNIS",11/10/2020 9:27:54 PM,3,78,0.354545454545455,1/1,
100043604,"CITY OF SUMPTER, MAYOR","","","","CITY OF SUMPTER",22,,9901,"Write-in",11/10/2020 9:27:54 PM,1,28,0.191780821917808,1/1,
100043604,"CITY OF SUMPTER, MAYOR","NONPARTISAN","","","CITY OF SUMPTER",22,,100072991,"JENNIFER LAKE",11/10/2020 9:27:54 PM,1,49,0.335616438356164,1/1,
100043604,"CITY OF SUMPTER, MAYOR","NONPARTISAN","","","CITY OF SUMPTER",22,,100072992,"GREG LUCAS",11/10/2020 9:27:54 PM,1,69,0.472602739726027,1/1,
100043602,"CITY OF SUMPTER, COUNCIL POSITION 1","","","","CITY OF SUMPTER",23,,9901,"Write-in",11/10/2020 9:27:54 PM,1,61,1,1/1,
100043602,"CITY OF SUMPTER, COUNCIL POSITION 1","NONPARTISAN","","","CITY OF SUMPTER",23,,100072988,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,1/1,
100043603,"CITY OF SUMPTER, COUNCIL POSITION 3","","","","CITY OF SUMPTER",24,,9901,"Write-in",11/10/2020 9:27:54 PM,1,14,0.120689655172414,1/1,
100043603,"CITY OF SUMPTER, COUNCIL POSITION 3","NONPARTISAN","","","CITY OF SUMPTER",24,,100072990,"MARSHA DEMARIS",11/10/2020 9:27:54 PM,1,102,0.879310344827586,1/1,
100043789,"BURNT RIVER SOIL AND WATER ZONE 1","","","","BURNT RIVER SOIL AND WATER CONSERVATION DISTRICT",31,,9901,"Write-in",11/10/2020 9:27:54 PM,1,42,1,4/4,
100043789,"BURNT RIVER SOIL AND WATER ZONE 1","NONPARTISAN","","","BURNT RIVER SOIL AND WATER CONSERVATION DISTRICT",31,,100073541,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,4/4,
100043790,"BURNT RIVER SOIL AND WATER AT LARGE 1","","","","BURNT RIVER SOIL AND WATER CONSERVATION DISTRICT",32,,9901,"Write-in",11/10/2020 9:27:54 PM,1,42,1,4/4,
100043790,"BURNT RIVER SOIL AND WATER AT LARGE 1","NONPARTISAN","","","BURNT RIVER SOIL AND WATER CONSERVATION DISTRICT",32,,100073542,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,4/4,
100043027,"JUDGE OF THE SUPREME COURT, POSITION 4","","","","STATEWIDE NONPARTISAN",33,,9901,"Write-in",11/10/2020 9:27:54 PM,1,166,0.026900016204829,662/1333,
100043027,"JUDGE OF THE SUPREME COURT, POSITION 4","NONPARTISAN INCUMBENT","","","STATEWIDE NONPARTISAN",33,,100072442,"CHRISTOPHER L GARRETT",11/10/2020 9:27:54 PM,1,6005,0.973099983795171,662/1333,
100043791,"BURNT RIVER SOIL AND WATER AT LARGE 2","","","","BURNT RIVER SOIL AND WATER CONSERVATION DISTRICT",33,,9901,"Write-in",11/10/2020 9:27:54 PM,1,38,1,4/4,
100043791,"BURNT RIVER SOIL AND WATER AT LARGE 2","NONPARTISAN","","","BURNT RIVER SOIL AND WATER CONSERVATION DISTRICT",33,,100073543,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,4/4,
100042920,"JUDGE OF THE COURT OF APPEALS, POSITION 9","","","","STATEWIDE NONPARTISAN",34,,9901,"Write-in",11/10/2020 9:27:54 PM,1,134,0.0222739361702128,662/1333,
100042920,"JUDGE OF THE COURT OF APPEALS, POSITION 9","NONPARTISAN INCUMBENT","","","STATEWIDE NONPARTISAN",34,,100072495,"JACQUELINE S KAMINS",11/10/2020 9:27:54 PM,1,5882,0.977726063829787,662/1333,
100043792,"EAGLE VALLEY SOIL AND WATER ZONE 2","","","","EAGLE VALLEY SOIL AND WATER CONSERVATION DISTRICT",34,,9901,"Write-in",11/10/2020 9:27:54 PM,1,124,1,3/3,
100043792,"EAGLE VALLEY SOIL AND WATER ZONE 2","NONPARTISAN","","","EAGLE VALLEY SOIL AND WATER CONSERVATION DISTRICT",34,,100073544,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,3/3,
100043793,"EAGLE VALLEY SOIL AND WATER ZONE 3","","","","EAGLE VALLEY SOIL AND WATER CONSERVATION DISTRICT",35,,9901,"Write-in",11/10/2020 9:27:54 PM,1,38,0.049738219895288,3/3,
100043793,"EAGLE VALLEY SOIL AND WATER ZONE 3","NONPARTISAN","","","EAGLE VALLEY SOIL AND WATER CONSERVATION DISTRICT",35,,100073545,"RICK JACKSON",11/10/2020 9:27:54 PM,1,726,0.950261780104712,3/3,
100043794,"EAGLE VALLEY SOIL AND WATER AT LARGE 1","","","","EAGLE VALLEY SOIL AND WATER CONSERVATION DISTRICT",36,,9901,"Write-in",11/10/2020 9:27:54 PM,1,15,0.0200534759358289,3/3,
100043794,"EAGLE VALLEY SOIL AND WATER AT LARGE 1","NONPARTISAN","","","EAGLE VALLEY SOIL AND WATER CONSERVATION DISTRICT",36,,100073546,"RONALD R STILL JR",11/10/2020 9:27:54 PM,1,733,0.979946524064171,3/3,
100002140,"01-105 UNITY COMMUNITY HALL & RECREATION DISTRICT - RENEWAL OF FIVE-YEAR LOCAL OPTION LEVY UNITY COMMUNITY HALL OPERATIONS","","","","UNITY COMMUNITY HALL & RECREATION DISTRICT",44,,1,"YES",11/10/2020 9:27:54 PM,1,71,0.763440860215054,1/1,
100002140,"01-105 UNITY COMMUNITY HALL & RECREATION DISTRICT - RENEWAL OF FIVE-YEAR LOCAL OPTION LEVY UNITY COMMUNITY HALL OPERATIONS","","","","UNITY COMMUNITY HALL & RECREATION DISTRICT",44,,2,"NO",11/10/2020 9:27:54 PM,1,22,0.236559139784946,1/1,
100043783,"BAKER VALLEY SOIL AND WATER ZONE 2","","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",45,,9901,"Write-in",11/10/2020 9:27:54 PM,1,43,0.00780824405302342,13/13,
100043783,"BAKER VALLEY SOIL AND WATER ZONE 2","NONPARTISAN","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",45,,100073535,"DERYL LEGGETT",11/10/2020 9:27:54 PM,1,5464,0.992191755946977,13/13,
100043784,"BAKER VALLEY SOIL AND WATER ZONE 3","","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",46,,9901,"Write-in",11/10/2020 9:27:54 PM,1,35,0.00654327911759207,13/13,
100043784,"BAKER VALLEY SOIL AND WATER ZONE 3","NONPARTISAN","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",46,,100073536,"TRACY LEHMAN",11/10/2020 9:27:54 PM,1,5314,0.993456720882408,13/13,
100043785,"BAKER VALLEY SOIL AND WATER ZONE 4","","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",47,,9901,"Write-in",11/10/2020 9:27:54 PM,1,62,0.0111994219653179,13/13,
100043785,"BAKER VALLEY SOIL AND WATER ZONE 4","NONPARTISAN","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",47,,100073537,"JOEL ROHNER",11/10/2020 9:27:54 PM,1,5474,0.988800578034682,13/13,
100043786,"BAKER VALLEY SOIL AND WATER ZONE 5","","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",48,,9901,"Write-in",11/10/2020 9:27:54 PM,1,32,0.00561009817671809,13/13,
100043786,"BAKER VALLEY SOIL AND WATER ZONE 5","NONPARTISAN","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",48,,100073538,"DEAN DEFREES",11/10/2020 9:27:54 PM,1,5672,0.994389901823282,13/13,
100043787,"BAKER VALLEY SOIL AND WATER AT LARGE 1","","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",49,,9901,"Write-in",11/10/2020 9:27:54 PM,1,588,1,13/13,
100043787,"BAKER VALLEY SOIL AND WATER AT LARGE 1","NONPARTISAN","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",49,,100073539,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,13/13,
100043787,"BAKER VALLEY SOIL AND WATER AT-LARGE 1","","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",49,,9901,"Write-in",11/10/2020 9:27:54 PM,1,588,1,13/13,
100043787,"BAKER VALLEY SOIL AND WATER AT-LARGE 1","NONPARTISAN","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",49,,100073539,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,13/13,
100043788,"BAKER VALLEY SOIL AND WATER AT LARGE 2","","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",50,,9901,"Write-in",11/10/2020 9:27:54 PM,1,55,0.00959023539668701,13/13,
100043788,"BAKER VALLEY SOIL AND WATER AT LARGE 2","NONPARTISAN","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",50,,100073540,"TIM A KERNS",11/10/2020 9:27:54 PM,1,5680,0.990409764603313,13/13,
100043788,"BAKER VALLEY SOIL AND WATER AT-LARGE 2","","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",50,,9901,"Write-in",11/10/2020 9:27:54 PM,1,55,0.00959023539668701,13/13,
100043788,"BAKER VALLEY SOIL AND WATER AT-LARGE 2","NONPARTISAN","","","BAKER VALLEY SOIL AND WATER CONSERVATION DISTRICT",50,,100073540,"TIM A KERNS",11/10/2020 9:27:54 PM,1,5680,0.990409764603313,13/13,
100043795,"KEATING SOIL AND WATER ZONE 2","","","","KEATING SOIL AND WATER CONSERVATION DISTRICT",51,,9901,"Write-in",11/10/2020 9:27:54 PM,1,2,0.0132450331125828,2/2,
100043795,"KEATING SOIL AND WATER ZONE 2","NONPARTISAN","","","KEATING SOIL AND WATER CONSERVATION DISTRICT",51,,100073548,"SKYLER MARTIN",11/10/2020 9:27:54 PM,1,149,0.986754966887417,2/2,
100043796,"KEATING SOIL AND WATER ZONE 3","","","","KEATING SOIL AND WATER CONSERVATION DISTRICT",52,,9901,"Write-in",11/10/2020 9:27:54 PM,1,21,1,2/2,
100043796,"KEATING SOIL AND WATER ZONE 3","NONPARTISAN","","","KEATING SOIL AND WATER CONSERVATION DISTRICT",52,,100073549,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,2/2,
100043797,"KEATING SOIL AND WATER AT LARGE 1","","","","KEATING SOIL AND WATER CONSERVATION DISTRICT",53,,9901,"Write-in",11/10/2020 9:27:54 PM,1,27,1,2/2,
100043797,"KEATING SOIL AND WATER AT LARGE 1","NONPARTISAN","","","KEATING SOIL AND WATER CONSERVATION DISTRICT",53,,100073550,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,2/2,
100043797,"KEATING SOIL AND WATER AT-LARGE 1","","","","KEATING SOIL AND WATER CONSERVATION DISTRICT",53,,9901,"Write-in",11/10/2020 9:27:54 PM,1,27,1,2/2,
100043797,"KEATING SOIL AND WATER AT-LARGE 1","NONPARTISAN","","","KEATING SOIL AND WATER CONSERVATION DISTRICT",53,,100073550,"NO CANDIDATE FILED",11/10/2020 9:27:54 PM,1,0,0,2/2,
100002117,"MEASURE 107 AMENDS CONSTITUTION: ALLOWS LAWS LIMITING POLITICAL CAMPAIGN CONTRIBUTIONS AND EXPENDITURES, REQUIRING DISCLOSURE OF POLITICAL CAMPAIGN CONTRIBUTIONS AND EXPENDITURES, AND REQUIRING POLITICAL CAMPAIGN ADVERTISEMENTS TO IDENTIFY WHO PAID FOR THEM","","","","STATEWIDE NONPARTISAN",76,,1,"YES",11/10/2020 9:27:54 PM,1,6259,0.666702172986792,662/1333,
100002117,"MEASURE 107 AMENDS CONSTITUTION: ALLOWS LAWS LIMITING POLITICAL CAMPAIGN CONTRIBUTIONS AND EXPENDITURES, REQUIRING DISCLOSURE OF POLITICAL CAMPAIGN CONTRIBUTIONS AND EXPENDITURES, AND REQUIRING POLITICAL CAMPAIGN ADVERTISEMENTS TO IDENTIFY WHO PAID FOR THEM","","","","STATEWIDE NONPARTISAN",76,,2,"NO",11/10/2020 9:27:54 PM,1,3129,0.333297827013208,662/1333,
